sector,stock_name,ticker,구분,securities_company,target_price,previous_target_price,target_revision_pct,report_date,previous_report_date,data_source
제약,셀트리온,068270,해외,Morgan Stanley,202000.0,198000.0,2.02,2026-01-02,,investing.com
건강관리장비와용품,파마리서치,214450,해외,Morgan Stanley,803000.0,881000.0,-8.85,2026-01-02,,investing.com
손해보험,현대해상,001450,해외,JP Morgan,22000.0,41000.0,-46.34,2026-01-08,,investing.com
,한국항공우주,047810,해외,Nomura,190000.0,130000.0,46.15,2026-01-14,,investing.com
식품,삼양식품,003230,해외,Macquarie,1900000.0,,,2026-01-15,,investing.com
,강원랜드,035250,해외,JP Morgan,18000.0,20000.0,-10.0,2026-01-22,,investing.com
,클래시스,214150,해외,Nomura,70000.0,62000.0,12.9,2026-01-23,,investing.com
IT서비스,삼성에스디에스,018260,해외,Macquarie,180000.0,190000.0,-5.26,2026-01-23,,investing.com
식품,오리온,271560,해외,Morgan Stanley,140000.0,114000.0,22.81,2026-01-27,,investing.com
석유와가스,S-Oil,010950,해외,Citi,84000.0,72000.0,16.67,2026-01-28,,investing.com
광고,제일기획,030000,해외,Macquarie,25000.0,,,2026-01-29,,investing.com
기계,두산로보틱스,454910,해외,UBS,130000.0,81000.0,60.49,2026-01-29,,investing.com
반도체와반도체장비,원익IPS,240810,해외,CLSA,120000.0,75000.0,60.0,2026-02-03,,investing.com
,한국타이어앤테크놀로지,161390,해외,Citi,76000.0,67000.0,13.43,2026-02-04,,investing.com
광고,이노션,214320,해외,Macquarie,23000.0,,,2026-02-04,,investing.com
자동차부품,한온시스템,018880,해외,Macquarie,4700.0,3495.57,34.46,2026-02-04,,investing.com
,한미반도체,042700,해외,Citi,110000.0,,,2026-02-04,,investing.com
,한국타이어앤테크놀로지,161390,해외,Macquarie,60000.0,36000.0,66.67,2026-02-05,,investing.com
무선통신서비스,LG유플러스,032640,해외,Macquarie,16000.0,14000.0,14.29,2026-02-06,,investing.com
무선통신서비스,SK텔레콤,017670,해외,JP Morgan,80000.0,61000.0,31.15,2026-02-06,,investing.com
무선통신서비스,SK텔레콤,017670,해외,Macquarie,70000.0,62000.0,12.9,2026-02-06,,investing.com
은행,기업은행,024110,해외,JP Morgan,24000.0,22000.0,9.09,2026-02-06,2026-01-12,investing.com
자동차부품,HL만도,204320,해외,Macquarie,65000.0,,,2026-02-06,,investing.com
,한국항공우주,047810,해외,Macquarie,150000.0,,,2026-02-06,,investing.com
,우리금융지주,316140,해외,Macquarie,34000.0,25000.0,36.0,2026-02-09,,investing.com
,우리금융지주,316140,해외,CLSA,40000.0,38000.0,5.26,2026-02-09,,investing.com
,한미반도체,042700,해외,Macquarie,100000.0,89000.0,12.36,2026-02-10,,investing.com
"호텔,레스토랑,레저",파라다이스,034230,해외,JP Morgan,19000.0,14800.0,28.38,2026-02-11,,investing.com
"호텔,레스토랑,레저",파라다이스,034230,해외,CLSA,24000.0,18000.0,33.33,2026-02-11,,investing.com
식품,오리온,271560,해외,Citi,165000.0,120000.0,37.5,2026-02-11,,investing.com
다각화된통신서비스,KT,030200,해외,HSBC,66520.0,61090.0,8.89,2026-02-11,,investing.com
다각화된통신서비스,KT,030200,해외,JP Morgan,75000.0,70000.0,7.14,2026-02-11,,investing.com
다각화된통신서비스,KT,030200,해외,Macquarie,70000.0,65000.0,7.69,2026-02-11,,investing.com
전기제품,LG에너지솔루션,373220,해외,Bernstein SocGen Group,347000.0,363000.0,-4.41,2026-02-11,,investing.com
화학,LG화학,051910,해외,Bernstein SocGen Group,298000.0,310000.0,-3.87,2026-02-11,,investing.com
,카카오게임즈,293490,해외,Macquarie,9000.0,10000.0,-10.0,2026-02-12,,investing.com
은행,기업은행,024110,해외,Macquarie,22000.0,17000.0,29.41,2026-02-12,,investing.com
방송과엔터테인먼트,하이브,352820,해외,Macquarie,450000.0,370000.0,21.62,2026-02-13,,investing.com
,클래시스,214150,해외,CLSA,94000.0,93000.0,1.08,2026-02-16,,investing.com
손해보험,DB손해보험,005830,해외,CLSA,280000.0,150000.0,86.67,2026-02-23,,investing.com
자동차,기아,000270,해외,Nomura,240000.0,220000.0,9.09,2026-02-24,,investing.com
양방향미디어와서비스,SOOP,067160,해외,HSBC,80000.0,110000.0,-27.27,2026-02-24,,investing.com
제약,셀트리온,068270,해외,JP Morgan,200000.0,150000.0,33.33,2026-02-25,,investing.com
반도체와반도체장비,원익IPS,240810,해외,Nomura,134000.0,90000.0,48.89,2026-02-26,,investing.com
,POSCO홀딩스,005490,해외,Nomura,450000.0,430000.0,4.65,2026-03-06,,investing.com
방송과엔터테인먼트,하이브,352820,해외,Bernstein SocGen Group,500000.0,,,2026-03-09,,investing.com
조선,삼성중공업,010140,해외,UBS,37000.0,21000.0,76.19,2026-03-11,,investing.com
조선,한화오션,042660,해외,UBS,155000.0,150000.0,3.33,2026-03-11,,investing.com
