sector,industry_no,ticker,stock_name,market,trading_amount,marcap
전자장비와기기,282,009150,삼성전기,KOSPI,2178350299461.0,146698418944000
전자장비와기기,282,011070,LG이노텍,KOSPI,392660595500.0,22649421399000
전자장비와기기,282,353200,대덕전자,KOSPI,121406073800.0,6824477342500
전자장비와기기,282,320000,한울반도체,KOSDAQ,111318441290.0,136377164500
전자장비와기기,282,007660,이수페타시스,KOSPI,74957511150.0,7876809198700
건강관리기술,288,458870,씨어스,KOSDAQ,16646522625.0,1290225186000
건강관리기술,288,328130,루닛,KOSDAQ,4647487400.0,829464125200
건강관리기술,288,394800,쓰리빌리언,KOSDAQ,3637635650.0,203346113670
건강관리기술,288,380550,뉴로핏,KOSDAQ,1296114470.0,128088093000
건강관리기술,288,035610,솔본,KOSDAQ,779047870.0,93660039725
생명과학도구및서비스,262,226950,올릭스,KOSDAQ GLOBAL,59233497850.0,2812631647200
생명과학도구및서비스,262,445680,큐리옥스바이오시스템즈,KOSDAQ,9099046600.0,789629404500
생명과학도구및서비스,262,127120,제이에스링크,KOSDAQ,6734288825.0,1221159577300
생명과학도구및서비스,262,096530,씨젠,KOSDAQ GLOBAL,6271913350.0,1407490538300
생명과학도구및서비스,262,494120,큐리오시스,KOSDAQ,1929087200.0,221648072100
통신장비,294,010170,대한광통신,KOSDAQ,107330298100.0,2234328934200
통신장비,294,489790,한화비전,KOSPI,24696798000.0,2761714933000
통신장비,294,218410,RFHIC,KOSDAQ,17712900300.0,1808289400200
통신장비,294,037460,삼지전자,KOSDAQ,12898674525.0,565436787300
통신장비,294,050890,쏠리드,KOSDAQ,11599719700.0,681080746140
석유와가스,313,034730,SK,KOSPI,212978216000.0,51621924536000
석유와가스,313,096770,SK이노베이션,KOSPI,42903714750.0,16634794339200
석유와가스,313,010950,S-Oil,KOSPI,36686106750.0,12080133581600
석유와가스,313,078930,GS,KOSPI,14235715100.0,6140392219500
석유와가스,313,024060,흥구석유,KOSDAQ,3107670870.0,151500000000
생물공학,286,196170,알테오젠,KOSDAQ GLOBAL,296229219750.0,19907326424500
생물공학,286,347850,디앤디파마텍,KOSDAQ,151084663850.0,4086073924000
생물공학,286,087010,펩트론,KOSDAQ,64036730100.0,5036547600000
생물공학,286,298380,에이비엘바이오,KOSDAQ GLOBAL,42240476900.0,5531561344400
생물공학,286,950160,코오롱티슈진,KOSDAQ,26555873650.0,8582593837500
건강관리장비와용품,281,290650,엘앤씨바이오,KOSDAQ,62910034500.0,2540546116800
건강관리장비와용품,281,214450,파마리서치,KOSDAQ GLOBAL,41446946000.0,3163647816000
건강관리장비와용품,281,028300,HLB,KOSDAQ,33403550125.0,6699870616900
건강관리장비와용품,281,256840,한국비엔씨,KOSDAQ,16244261366.0,178168678030
건강관리장비와용품,281,214150,클래시스,KOSDAQ GLOBAL,9859188700.0,2968222484500
디스플레이장비및부품,269,290690,소룩스,KOSDAQ,121229107110.0,304025745800
디스플레이장비및부품,269,036090,위지트,KOSDAQ,31085390927.0,76165703350
디스플레이장비및부품,269,095500,미래나노텍,KOSDAQ,30294970475.0,266685991400
디스플레이장비및부품,269,046890,서울반도체,KOSDAQ GLOBAL,10040658540.0,696749530000
디스플레이장비및부품,269,272290,이녹스첨단소재,KOSDAQ GLOBAL,7001971825.0,518375234000
컴퓨터와주변기기,293,046970,우리로,KOSDAQ,11850255335.0,265141243950
컴퓨터와주변기기,293,094940,푸른로보틱스,KOSDAQ,682072490.0,51924207060
컴퓨터와주변기기,293,049480,오픈베이스,KOSDAQ,515827646.0,60142441062
컴퓨터와주변기기,293,045660,에이텍,KOSDAQ,304147430.0,67484200000
