산업,종목명,티커,구분,현재가,평균목표가_6M,최고목표가_6M,최저목표가_6M,최근목표가,최근발표일,최근증권사,괴리율_최근,목표가변동률,목표가변동기준,목표가변동_타기관,리포트건수_6M
IT서비스,삼성에스디에스,018260,해외,193100.0,177500.0,180000.0,175000.0,175000.0,2026-04-24,JP Morgan,-9.37,-2.78,Macquarie,True,2
건강관리장비와용품,파마리서치,214450,해외,293500.0,550750.0,803000.0,330000.0,330000.0,2026-05-11,Macquarie,12.44,-10.81,Macquarie,False,4
건설,GS건설,006360,해외,31900.0,21100.0,26000.0,16200.0,16200.0,2026-05-04,Macquarie,-49.22,-37.69,HSBC,True,2
건설,삼성E&A,028050,해외,53200.0,40750.0,50000.0,28000.0,45000.0,2026-04-24,Macquarie,-15.41,60.71,Macquarie,False,4
게임엔터테인먼트,NC,036570,해외,273500.0,309000.0,405000.0,230000.0,405000.0,2026-05-19,Citi,48.08,39.66,Citi,False,5
게임엔터테인먼트,더블유게임즈,192080,해외,69200.0,66500.0,73000.0,60000.0,73000.0,2026-05-21,Morgan Stanley,5.49,21.67,Morgan Stanley,False,2
게임엔터테인먼트,넷마블,251270,해외,43350.0,54000.0,62000.0,43000.0,57000.0,2026-05-19,Citi,31.49,-6.56,Citi,False,5
광고,제일기획,030000,해외,19000.0,23900.0,25000.0,22800.0,22800.0,2026-04-27,Citi,20.0,-8.8,Macquarie,True,2
광고,이노션,214320,해외,20900.0,23000.0,23000.0,23000.0,23000.0,2026-02-04,Macquarie,10.05,,,False,1
기계,두산로보틱스,454910,해외,106300.0,130000.0,130000.0,130000.0,130000.0,2026-01-29,UBS,22.3,,,False,1
다각화된통신서비스,KT,030200,해외,55800.0,67504.0,75000.0,60000.0,66000.0,2026-05-14,BofA Securities,18.28,10.0,Nomura,True,5
담배,KT&G,033780,해외,187500.0,192500.0,200000.0,185000.0,200000.0,2026-05-08,CLSA,6.67,8.11,CLSA,False,2
디스플레이패널,LG디스플레이,034220,해외,15140.0,14000.0,17000.0,11000.0,11000.0,2026-04-23,BofA Securities,-27.34,-35.29,Nomura,True,2
무선통신서비스,SK텔레콤,017670,해외,102800.0,83600.0,100000.0,70000.0,89000.0,2026-05-08,Nomura,-13.42,12.66,HSBC,True,5
무선통신서비스,LG유플러스,032640,해외,15670.0,15900.0,16000.0,15800.0,16000.0,2026-02-06,Macquarie,2.11,1.27,HSBC,True,2
무역회사와판매업체,STX,011810,해외,3530.0,1000.0,1000.0,1000.0,1000.0,2026-04-30,Bernstein SocGen Group,-71.67,,,False,1
반도체와반도체장비,SK하이닉스,000660,해외,1937000.0,3104000.0,4000000.0,2520000.0,4000000.0,2026-05-18,Nomura,106.5,37.93,Macquarie,True,5
반도체와반도체장비,삼성전자,005930,해외,292750.0,456000.0,590000.0,350000.0,590000.0,2026-05-18,Nomura,101.54,68.57,JP Morgan,True,5
방송과엔터테인먼트,JYP Ent.,035900,해외,60900.0,81800.0,93000.0,65000.0,65000.0,2026-05-15,Nomura,6.73,-30.11,JP Morgan,True,5
방송과엔터테인먼트,에스엠,041510,해외,84800.0,100000.0,100000.0,100000.0,100000.0,2026-05-07,Nomura,17.92,,,False,1
방송과엔터테인먼트,와이지엔터테인먼트,122870,해외,47050.0,57000.0,57000.0,57000.0,57000.0,2026-05-11,Nomura,21.15,,,False,1
방송과엔터테인먼트,하이브,352820,해외,235250.0,438000.0,500000.0,380000.0,400000.0,2026-04-30,Nomura,70.03,-13.04,Nomura,False,5
백화점과일반상점,롯데쇼핑,023530,해외,162700.0,157000.0,157000.0,157000.0,157000.0,2026-05-12,Citi,-3.5,,,False,1
백화점과일반상점,현대백화점,069960,해외,109900.0,126500.0,133000.0,120000.0,133000.0,2026-05-07,CLSA,21.02,10.83,Morgan Stanley,True,2
백화점과일반상점,이마트,139480,해외,90400.0,115000.0,115000.0,115000.0,115000.0,2026-05-14,UBS,27.21,,,False,1
복합기업,LG,003550,해외,118700.0,90500.0,110000.0,71000.0,110000.0,2026-05-08,JP Morgan,-7.33,54.93,Macquarie,True,2
복합기업,삼성물산,028260,해외,419500.0,425000.0,500000.0,340000.0,500000.0,2026-05-07,CLSA,19.19,23.46,HSBC,True,5
복합기업,SK스퀘어,402340,해외,1178000.0,1216000.0,1660000.0,700000.0,1660000.0,2026-05-15,Macquarie,40.92,71.13,Macquarie,False,5
생명보험,삼성생명,032830,해외,363500.0,303400.0,370000.0,260000.0,370000.0,2026-05-07,JP Morgan,1.79,19.35,JP Morgan,False,5
생명보험,한화생명,088350,해외,5610.0,3200.0,4900.0,2100.0,2100.0,2026-05-04,JP Morgan,-62.57,-57.14,HSBC,True,3
생물공학,알테오젠,196170,해외,351500.0,460000.0,470000.0,450000.0,470000.0,2026-02-03,CLSA,33.71,4.44,Macquarie,True,2
석유와가스,S-Oil,010950,해외,108500.0,111400.0,147000.0,71000.0,135000.0,2026-05-12,JP Morgan,24.42,-8.16,Goldman Sachs,True,5
석유와가스,SK,034730,해외,640000.0,483000.0,770000.0,350000.0,770000.0,2026-05-07,CLSA,20.31,54.0,CLSA,False,5
석유와가스,SK이노베이션,096770,해외,123400.0,121666.67,165000.0,90000.0,165000.0,2026-05-15,JP Morgan,33.71,83.33,Nomura,True,3
손해보험,삼성화재,000810,해외,568000.0,600400.0,682000.0,500000.0,660000.0,2026-05-18,Morgan Stanley,16.2,22.22,Morgan Stanley,False,5
손해보험,현대해상,001450,해외,38500.0,29966.67,40000.0,22000.0,27900.0,2026-04-14,HSBC,-27.53,-30.25,Goldman Sachs,True,3
손해보험,코리안리,003690,해외,14520.0,14500.0,17000.0,12000.0,17000.0,2026-05-18,JP Morgan,17.08,,,False,2
손해보험,DB손해보험,005830,해외,153800.0,227800.0,280000.0,203000.0,209000.0,2026-05-18,Morgan Stanley,35.89,2.96,Goldman Sachs,True,5
식품,삼양식품,003230,해외,1313000.0,2000000.0,2100000.0,1900000.0,2100000.0,2026-03-24,CLSA,59.94,0.0,CLSA,False,4
식품,농심,004370,해외,398500.0,422000.0,422000.0,422000.0,422000.0,2026-03-12,CLSA,5.9,,,False,1
식품,오리온,271560,해외,137000.0,152500.0,165000.0,140000.0,165000.0,2026-02-11,Citi,20.44,17.86,Morgan Stanley,True,2
양방향미디어와서비스,카카오,035720,해외,41750.0,63600.0,83000.0,45000.0,45000.0,2026-05-08,Nomura,7.78,-45.78,Macquarie,True,5
양방향미디어와서비스,SOOP,067160,해외,49300.0,72500.0,80000.0,65000.0,65000.0,2026-05-04,JP Morgan,31.85,-18.75,HSBC,True,2
