ticker,stock_name,securities_company,report_date,target_price,previous_target_price,previous_report_date,target_revision_pct,opinion,data_source,source_region,report_nid,investing_slug
161390,한국타이어앤테크놀로지,Macquarie,2026-02-05,60000.0,36000.0,,66.67,보유,investing.com,foreign,investing_hankook-tire_Macquarie_2026-02-05,hankook-tire
161390,한국타이어앤테크놀로지,Citi,2026-02-04,76000.0,67000.0,,13.43,매수,investing.com,foreign,investing_hankook-tire_Citi_2026-02-04,hankook-tire
055550,신한지주,Macquarie,2026-04-27,122000.0,,,,매수,investing.com,foreign,investing_shinhan-financial-group_Macquarie_2026-04-27,shinhan-financial-group
055550,신한지주,CLSA,2026-04-27,117000.0,110000.0,,6.36,매수,investing.com,foreign,investing_shinhan-financial-group_CLSA_2026-04-27,shinhan-financial-group
055550,신한지주,JP Morgan,2026-04-24,136000.0,120000.0,,13.33,매수,investing.com,foreign,investing_shinhan-financial-group_JPMorgan_2026-04-24,shinhan-financial-group
055550,신한지주,HSBC,2026-03-28,118000.0,116000.0,,1.72,매수,investing.com,foreign,investing_shinhan-financial-group_HSBC_2026-03-28,shinhan-financial-group
055550,신한지주,Macquarie,2026-02-06,111000.0,85000.0,,30.59,매수,investing.com,foreign,investing_shinhan-financial-group_Macquarie_2026-02-06,shinhan-financial-group
086790,하나금융지주,Macquarie,2026-04-27,155000.0,152000.0,,1.97,매수,investing.com,foreign,investing_hana-financial_Macquarie_2026-04-27,hana-financial
086790,하나금융지주,JP Morgan,2026-04-27,165000.0,140000.0,,17.86,매수,investing.com,foreign,investing_hana-financial_JPMorgan_2026-04-27,hana-financial
086790,하나금융지주,HSBC,2026-03-28,140000.0,134000.0,,4.48,매수,investing.com,foreign,investing_hana-financial_HSBC_2026-03-28,hana-financial
086790,하나금융지주,JP Morgan,2026-01-12,140000.0,130000.0,,7.69,매수,investing.com,foreign,investing_hana-financial_JPMorgan_2026-01-12,hana-financial
316140,우리금융지주,HSBC,2026-03-28,39500.0,39000.0,,1.28,매수,investing.com,foreign,investing_woori-financial_HSBC_2026-03-28,woori-financial
316140,우리금융지주,CLSA,2026-02-09,40000.0,38000.0,,5.26,매수,investing.com,foreign,investing_woori-financial_CLSA_2026-02-09,woori-financial
316140,우리금융지주,Macquarie,2026-02-09,34000.0,25000.0,,36.0,보유,investing.com,foreign,investing_woori-financial_Macquarie_2026-02-09,woori-financial
011170,롯데케미칼,JP Morgan,2026-05-12,66000.0,56000.0,,17.86,매도,investing.com,foreign,investing_lotte-chemical-corp_JPMorgan_2026-05-12,lotte-chemical-corp
011170,롯데케미칼,Goldman Sachs,2026-04-01,55000.0,50000.0,,10.0,매도,investing.com,foreign,investing_lotte-chemical-corp_Goldman Sachs_2026-04-01,lotte-chemical-corp
011170,롯데케미칼,JP Morgan,2026-02-05,56000.0,48000.0,,16.67,매도,investing.com,foreign,investing_lotte-chemical-corp_JPMorgan_2026-02-05,lotte-chemical-corp
009830,한화솔루션,JP Morgan,2026-04-30,60000.0,26000.0,,130.77,매수,investing.com,foreign,investing_hanwhachem_JPMorgan_2026-04-30,hanwhachem
009830,한화솔루션,JP Morgan,2026-02-06,26000.0,22000.0,,18.18,매도,investing.com,foreign,investing_hanwhachem_JPMorgan_2026-02-06,hanwhachem
011780,금호석유화학,JP Morgan,2026-05-08,150000.0,135000.0,,11.11,매수,investing.com,foreign,investing_kumho-petro-chemical_JPMorgan_2026-05-08,kumho-petro-chemical
011780,금호석유화학,Goldman Sachs,2026-04-01,180000.0,190000.0,,-5.26,매수,investing.com,foreign,investing_kumho-petro-chemical_Goldman Sachs_2026-04-01,kumho-petro-chemical
005490,POSCO홀딩스,Macquarie,2026-05-06,480000.0,380000.0,,26.32,보유,investing.com,foreign,investing_posco-inc_Macquarie_2026-05-06,posco-inc
005490,POSCO홀딩스,JP Morgan,2026-05-04,450000.0,400000.0,,12.5,보유,investing.com,foreign,investing_posco-inc_JPMorgan_2026-05-04,posco-inc
005490,POSCO홀딩스,UBS,2026-04-27,500000.0,320000.0,,56.25,매수,investing.com,foreign,investing_posco-inc_UBS_2026-04-27,posco-inc
005490,POSCO홀딩스,Nomura,2026-03-06,450000.0,430000.0,,4.65,매수,investing.com,foreign,investing_posco-inc_Nomura/Instinet_2026-03-06,posco-inc
005490,POSCO홀딩스,JP Morgan,2026-03-03,430000.0,,,,보유,investing.com,foreign,investing_posco-inc_JPMorgan_2026-03-03,posco-inc
000720,현대건설,CLSA,2026-04-29,240000.0,150000.0,,60.0,매수,investing.com,foreign,investing_hyundai-engineering---construction_CLSA_2026-04-29,hyundai-engineering---construction
000720,현대건설,Macquarie,2026-04-29,195000.0,191000.0,,2.09,매수,investing.com,foreign,investing_hyundai-engineering---construction_Macquarie_2026-04-29,hyundai-engineering---construction
000720,현대건설,JP Morgan,2026-04-29,180000.0,170000.0,,5.88,매수,investing.com,foreign,investing_hyundai-engineering---construction_JPMorgan_2026-04-29,hyundai-engineering---construction
000720,현대건설,HSBC,2026-03-18,215000.0,140000.0,,53.57,매수,investing.com,foreign,investing_hyundai-engineering---construction_HSBC_2026-03-18,hyundai-engineering---construction
000720,현대건설,Macquarie,2026-03-02,191000.0,130000.0,,46.92,매수,investing.com,foreign,investing_hyundai-engineering---construction_Macquarie_2026-03-02,hyundai-engineering---construction
004370,농심,CLSA,2026-03-12,422000.0,520000.0,,-18.85,보유,investing.com,foreign,investing_nongshim_CLSA_2026-03-12,nongshim
139480,이마트,UBS,2026-05-14,115000.0,89000.0,,29.21,보유,investing.com,foreign,investing_e-mart_UBS_2026-05-14,e-mart
271560,오리온,Citi,2026-02-11,165000.0,120000.0,,37.5,매수,investing.com,foreign,investing_orion-corp_Citi_2026-02-11,orion-corp
271560,오리온,Morgan Stanley,2026-01-27,140000.0,114000.0,,22.81,매수,investing.com,foreign,investing_orion-corp_Morgan Stanley_2026-01-27,orion-corp
047810,한국항공우주,JP Morgan,2026-04-08,240000.0,180000.0,,33.33,매수,investing.com,foreign,investing_korea-aerospac_JPMorgan_2026-04-08,korea-aerospac
047810,한국항공우주,Macquarie,2026-02-06,150000.0,,,,보유,investing.com,foreign,investing_korea-aerospac_Macquarie_2026-02-06,korea-aerospac
047810,한국항공우주,Nomura,2026-01-14,190000.0,130000.0,,46.15,매수,investing.com,foreign,investing_korea-aerospac_Nomura/Instinet_2026-01-14,korea-aerospac
047810,한국항공우주,JP Morgan,2026-01-12,180000.0,130000.0,,38.46,매수,investing.com,foreign,investing_korea-aerospac_JPMorgan_2026-01-12,korea-aerospac
047810,한국항공우주,JP Morgan,2025-11-17,130000.0,120000.0,,8.33,매수,investing.com,foreign,investing_korea-aerospac_JPMorgan_2025-11-17,korea-aerospac
192080,더블유게임즈,Morgan Stanley,2026-05-21,73000.0,60000.0,,21.67,매수,investing.com,foreign,investing_doubleu-games-co-ltd_Morgan Stanley_2026-05-21,doubleu-games-co-ltd
192080,더블유게임즈,Morgan Stanley,2026-04-10,60000.0,58000.0,,3.45,매수,investing.com,foreign,investing_doubleu-games-co-ltd_Morgan Stanley_2026-04-10,doubleu-games-co-ltd
035250,강원랜드,JP Morgan,2026-01-22,18000.0,20000.0,,-10.0,보유,investing.com,foreign,investing_kangwon-land_JPMorgan_2026-01-22,kangwon-land
006360,GS건설,Macquarie,2026-05-04,16200.0,15500.0,,4.52,매도,investing.com,foreign,investing_gs-engineering---construction_Macquarie_2026-05-04,gs-engineering---construction
006360,GS건설,HSBC,2026-03-18,26000.0,20000.0,,30.0,보유,investing.com,foreign,investing_gs-engineering---construction_HSBC_2026-03-18,gs-engineering---construction
051900,LG생활건강,Macquarie,2026-05-04,267000.0,281000.0,,-4.98,보유,investing.com,foreign,investing_lg-household---healthcare_Macquarie_2026-05-04,lg-household---healthcare
051900,LG생활건강,JP Morgan,2026-05-04,190000.0,180000.0,,5.56,매도,investing.com,foreign,investing_lg-household---healthcare_JPMorgan_2026-05-04,lg-household---healthcare
051900,LG생활건강,Macquarie,2026-01-29,281000.0,277000.0,,1.44,보유,investing.com,foreign,investing_lg-household---healthcare_Macquarie_2026-01-29,lg-household---healthcare
051900,LG생활건강,JP Morgan,2026-01-29,180000.0,190000.0,,-5.26,매도,investing.com,foreign,investing_lg-household---healthcare_JPMorgan_2026-01-29,lg-household---healthcare
051900,LG생활건강,Macquarie,2026-01-16,277000.0,302000.0,,-8.28,보유,investing.com,foreign,investing_lg-household---healthcare_Macquarie_2026-01-16,lg-household---healthcare
204320,HL만도,Nomura,2026-04-30,63000.0,65000.0,,-3.08,보유,investing.com,foreign,investing_mando-corp_Nomura/Instinet_2026-04-30,mando-corp
204320,HL만도,Nomura,2026-02-24,65000.0,34000.0,,91.18,보유,investing.com,foreign,investing_mando-corp_Nomura/Instinet_2026-02-24,mando-corp
204320,HL만도,Macquarie,2026-02-06,65000.0,,,,보유,investing.com,foreign,investing_mando-corp_Macquarie_2026-02-06,mando-corp
009150,삼성전기,JP Morgan,2026-06-15,2400000.0,1450000.0,,65.52,매수,investing.com,foreign,investing_samsung-electro-mechanics_JPMorgan_2026-06-15,samsung-electro-mechanics
009150,삼성전기,CLSA,2026-06-03,3200000.0,2200000.0,,45.45,매수,investing.com,foreign,investing_samsung-electro-mechanics_CLSA_2026-06-03,samsung-electro-mechanics
009150,삼성전기,CLSA,2026-05-28,2200000.0,1700000.0,,29.41,매수,investing.com,foreign,investing_samsung-electro-mechanics_CLSA_2026-05-28,samsung-electro-mechanics
009150,삼성전기,Citi,2026-05-28,2000000.0,1100000.0,,81.82,매수,investing.com,foreign,investing_samsung-electro-mechanics_Citi_2026-05-28,samsung-electro-mechanics
009150,삼성전기,Macquarie,2026-05-27,2150000.0,1250000.0,,72.0,매수,investing.com,foreign,investing_samsung-electro-mechanics_Macquarie_2026-05-27,samsung-electro-mechanics
011070,LG이노텍,CLSA,2026-05-28,1500000.0,650000.0,,130.77,매수,investing.com,foreign,investing_lg-innotek-co-ltd_CLSA_2026-05-28,lg-innotek-co-ltd
011070,LG이노텍,Goldman Sachs,2026-04-28,550000.0,245000.0,,124.49,보유,investing.com,foreign,investing_lg-innotek-co-ltd_Goldman Sachs_2026-04-28,lg-innotek-co-ltd
011070,LG이노텍,CLSA,2026-04-28,650000.0,460000.0,,41.3,매수,investing.com,foreign,investing_lg-innotek-co-ltd_CLSA_2026-04-28,lg-innotek-co-ltd
011070,LG이노텍,JP Morgan,2026-04-28,700000.0,285000.0,,145.61,매수,investing.com,foreign,investing_lg-innotek-co-ltd_JPMorgan_2026-04-28,lg-innotek-co-ltd
011070,LG이노텍,Nomura,2026-04-28,540000.0,280000.0,,92.86,보유,investing.com,foreign,investing_lg-innotek-co-ltd_Nomura/Instinet_2026-04-28,lg-innotek-co-ltd
034730,SK,CLSA,2026-06-02,900000.0,770000.0,,16.88,매수,investing.com,foreign,investing_sk-c-c_CLSA_2026-06-02,sk-c-c
034730,SK,JP Morgan,2026-05-22,870000.0,350000.0,,148.57,매수,investing.com,foreign,investing_sk-c-c_JPMorgan_2026-05-22,sk-c-c
034730,SK,CLSA,2026-05-07,770000.0,500000.0,,54.0,매수,investing.com,foreign,investing_sk-c-c_CLSA_2026-05-07,sk-c-c
034730,SK,CLSA,2026-03-06,500000.0,420000.0,,19.05,매수,investing.com,foreign,investing_sk-c-c_CLSA_2026-03-06,sk-c-c
034730,SK,CLSA,2026-01-19,420000.0,375000.0,,12.0,매수,investing.com,foreign,investing_sk-c-c_CLSA_2026-01-19,sk-c-c
096770,SK이노베이션,Nomura,2026-06-12,118000.0,90000.0,,31.11,보유,investing.com,foreign,investing_sk-innovation_Nomura/Instinet_2026-06-12,sk-innovation
096770,SK이노베이션,JP Morgan,2026-05-15,165000.0,,,,매수,investing.com,foreign,investing_sk-innovation_JPMorgan_2026-05-15,sk-innovation
096770,SK이노베이션,Nomura,2026-01-29,90000.0,110000.0,,-18.18,매도,investing.com,foreign,investing_sk-innovation_Nomura/Instinet_2026-01-29,sk-innovation
010950,S-Oil,UBS,2026-06-04,130000.0,100300.0,,29.61,매수,investing.com,foreign,investing_s-oil-corp_UBS_2026-06-04,s-oil-corp
010950,S-Oil,JP Morgan,2026-05-12,135000.0,71000.0,,90.14,매수,investing.com,foreign,investing_s-oil-corp_JPMorgan_2026-05-12,s-oil-corp
010950,S-Oil,Goldman Sachs,2026-03-24,147000.0,136000.0,,8.09,매수,investing.com,foreign,investing_s-oil-corp_Goldman Sachs_2026-03-24,s-oil-corp
010950,S-Oil,JP Morgan,2026-01-28,71000.0,60000.0,,18.33,매도,investing.com,foreign,investing_s-oil-corp_JPMorgan_2026-01-28,s-oil-corp
010950,S-Oil,Citi,2026-01-28,84000.0,72000.0,,16.67,매도,investing.com,foreign,investing_s-oil-corp_Citi_2026-01-28,s-oil-corp
196170,알테오젠,Macquarie,2026-06-18,420000.0,450000.0,,-6.67,매수,investing.com,foreign,investing_alteogen-inc_Macquarie_2026-06-18,alteogen-inc
196170,알테오젠,CLSA,2026-06-11,500000.0,470000.0,,6.38,매수,investing.com,foreign,investing_alteogen-inc_CLSA_2026-06-11,alteogen-inc
196170,알테오젠,CLSA,2026-02-03,470000.0,620000.0,,-24.19,매수,investing.com,foreign,investing_alteogen-inc_CLSA_2026-02-03,alteogen-inc
196170,알테오젠,Macquarie,2026-01-22,450000.0,590000.0,,-23.73,매수,investing.com,foreign,investing_alteogen-inc_Macquarie_2026-01-22,alteogen-inc
214450,파마리서치,Macquarie,2026-05-11,330000.0,370000.0,,-10.81,보유,investing.com,foreign,investing_pharma-reaserch-products-co-ltd_Macquarie_2026-05-11,pharma-reaserch-products-co-ltd
214450,파마리서치,Macquarie,2026-02-09,370000.0,700000.0,,-47.14,보유,investing.com,foreign,investing_pharma-reaserch-products-co-ltd_Macquarie_2026-02-09,pharma-reaserch-products-co-ltd
214450,파마리서치,Macquarie,2026-01-14,700000.0,840000.0,,-16.67,매수,investing.com,foreign,investing_pharma-reaserch-products-co-ltd_Macquarie_2026-01-14,pharma-reaserch-products-co-ltd
214450,파마리서치,Morgan Stanley,2026-01-02,803000.0,881000.0,,-8.85,매수,investing.com,foreign,investing_pharma-reaserch-products-co-ltd_Morgan Stanley_2026-01-02,pharma-reaserch-products-co-ltd
214150,클래시스,Citi,2026-05-15,70000.0,75000.0,,-6.67,매수,investing.com,foreign,investing_ktb-special-purpose-acquisition-2_Citi_2026-05-15,ktb-special-purpose-acquisition-2
214150,클래시스,JP Morgan,2026-05-14,740000.0,80000.0,,825.0,매수,investing.com,foreign,investing_ktb-special-purpose-acquisition-2_JPMorgan_2026-05-14,ktb-special-purpose-acquisition-2
214150,클래시스,CLSA,2026-02-16,94000.0,93000.0,,1.08,매수,investing.com,foreign,investing_ktb-special-purpose-acquisition-2_CLSA_2026-02-16,ktb-special-purpose-acquisition-2
